epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.178,1.52762,3.92511,1.33191,0.00489,0.76923,0.47977,0.1788,1.52957,3.93496,1.25552,0.00046,0.00046,0.00046
2,297.465,1.4539,2.93997,1.25279,0.52489,0.32692,0.34977,0.14739,1.60907,4.06204,1.46179,0.00084694,0.00084694,0.00084694
3,452.985,1.53261,2.76743,1.3238,0.27822,0.30769,0.30004,0.11425,1.68185,3.53066,1.8388,0.00113884,0.00113884,0.00113884
4,608.688,1.56294,2.50243,1.34116,0.3332,0.55769,0.37327,0.14815,1.70378,3.45292,1.59687,0.0013357,0.0013357,0.0013357
5,762.206,1.50104,2.23671,1.27758,0.60886,0.40385,0.51934,0.23469,1.6581,2.74691,1.57207,0.001208,0.001208,0.001208
6,914.33,1.47312,2.06698,1.32282,0.84133,0.53846,0.7019,0.30957,1.66806,2.41054,1.6376,0.00101,0.00101,0.00101
7,1065.86,1.42833,1.9232,1.25382,0.93069,0.77476,0.94313,0.48362,1.50361,1.73768,1.30855,0.000812,0.000812,0.000812
8,1214.17,1.38243,1.73722,1.1848,0.87831,0.86538,0.92201,0.48992,1.51895,1.62132,1.28231,0.000614,0.000614,0.000614
9,1366.13,1.3253,1.66577,1.17044,0.95833,0.88455,0.96224,0.52057,1.43652,1.56213,1.24599,0.000416,0.000416,0.000416
10,1545.98,1.28427,1.51512,1.16112,0.8991,0.88462,0.93074,0.53184,1.39667,1.48923,1.22333,0.000218,0.000218,0.000218
